Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,FirstName,LastName,suffix,batterid
Rico Garcia,25,552,MLB-NL,Colorado,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Rico,Garcia,Garcia,670329
Robel Garcia,26,519,MLB-NL,Chicago,31,80,72,8,15,2,2,5,11,7,0,35,0,0,1,2,0,0,0.208,0.275,0.5,0.775,Robel,Garcia,Garcia,596825
Yimi Garcia,28,568,MLB-NL,Los Angeles,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,Yimi,Garcia,Garcia,554340
Brett Gardner,35,519,MLB-AL,New York,141,550,491,86,123,26,7,28,74,52,0,108,4,0,3,6,10,2,0.251,0.325,0.503,0.829,Brett,Gardner,Gardner,458731
Kyle Garlick,27,561,MLB-NL,Los Angeles,30,53,48,8,12,4,0,3,6,5,1,19,0,0,0,0,0,0,0.25,0.321,0.521,0.842,Kyle,Garlick,Garlick,664247
Dustin Garneau,31,564,MLB-AL,"Oakland,Los Angeles",35,101,86,14,21,5,0,3,14,10,0,22,4,0,0,1,0,0,0.244,0.35,0.407,0.757,Dustin,Garneau,Garneau,572863
Mitch Garver,28,520,MLB-AL,Minnesota,93,359,311,70,85,16,1,31,67,41,0,87,5,0,2,5,0,0,0.273,0.365,0.63,0.995,Mitch,Garver,Garver,641598
Kevin Gausman,28,577,MLB-NL,Atlanta,14,27,27,1,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0.037,0.037,0.037,0.074,Kevin,Gausman,Gausman,592332
Scooter Gennett,29,553,MLB-NL,"Cincinnati,San Francisco",42,139,133,15,30,7,0,2,11,2,0,41,2,0,2,1,0,0,0.226,0.245,0.323,0.568,Scooter,Gennett,Gennett,571697
Mike Gerber,26,521,MLB-NL,San Francisco,12,26,24,0,1,1,0,0,0,2,0,15,0,0,0,0,0,0,0.042,0.115,0.083,0.199,Mike,Gerber,Gerber,595222
Domingo German,26,554,MLB-AL,New York,3,8,8,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0.0,0.0,0.0,0.0,Domingo,German,German,593334
Kyle Gibson,31,565,MLB-AL,Minnesota,2,4,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0.0,0.5,0.0,0.5,Kyle,Gibson,Gibson,502043
Lucas Giolito,24,547,MLB-AL,Chicago,2,4,4,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0.25,0.25,0.25,0.5,Lucas,Giolito,Giolito,608337
Tyler Glasnow,25,696,MLB-AL,Tampa Bay,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Tyler,Glasnow,Glasnow,607192
Zack Godley,29,558,"MLB-AL,MLB-NL","Toronto,Arizona",14,23,19,3,3,0,0,0,2,3,0,10,0,1,0,0,0,0,0.158,0.273,0.158,0.431,Zack,Godley,Godley,643327
